gene,bio_rank,ko_l2_mean,residual_l2,resid_rank,mean_expr,frac_expr,is_ref
LRFN2,1450,0.0032719078,4.912403540498865e-4,889,0.06286127,0.0426300578034682,FALSE
LHX5-AS1,1974,9.5031766e-4,4.908024849876444e-4,890,0.01083815,0.009393063583815,FALSE
FRMPD4,895,0.010136176,4.880547659157733e-4,891,0.23265895,0.1394508670520231,FALSE
SULF1,807,0.011949048,4.873991802124626e-4,892,0.26445088,0.088150289017341,FALSE
SYNDIG1,1099,0.006720946,4.857377425262515e-4,893,0.14595376,0.0953757225433526,FALSE
LATS2-AS1,1832,0.0013301175,4.834564243843578e-4,894,0.019508671000000002,0.0158959537572254,FALSE
NTS,1287,0.00453116,4.828380489777783e-4,895,0.088872835,0.0426300578034682,FALSE
DIO2,1192,0.0055875024,4.8243953140617534e-4,896,0.11777457,0.0765895953757225,FALSE
CASC17,1023,0.0076819556,4.8204381318120557e-4,897,0.16618498,0.0903179190751445,FALSE
FUT2,1931,0.0010562129,4.8070139799947966e-4,898,0.013728323,0.0130057803468208,FALSE
MELTF,1863,0.0012388586,4.800426100775194e-4,899,0.018063584,0.0173410404624277,FALSE
TRPM2,2023,8.706549e-4,4.794067115966525e-4,900,0.009393063,0.0086705202312138,FALSE
LINC02488,1712,0.0017305439,4.7717584038598274e-4,901,0.028901733,0.0238439306358381,FALSE
DDX28,1834,0.0013272675,4.771563716389832e-4,902,0.020231213,0.0195086705202312,FALSE
CPNE7,1870,0.0012172121,4.754030111622636e-4,903,0.01734104,0.0151734104046242,FALSE
TFAP2A,1917,0.0010879938,4.751263412820097e-4,904,0.014450867,0.0130057803468208,FALSE
PEX5L,1176,0.005695615,4.7511736770303994e-4,905,0.123554915,0.0932080924855491,FALSE
ADARB2,802,0.0120153045,4.74073229581848e-4,906,0.27601156,0.1307803468208092,FALSE
GJD2,1924,0.001071943,4.7255317235388725e-4,907,0.014450867,0.0144508670520231,FALSE
LRTM1,1810,0.0013928103,4.7188710615773683e-4,908,0.020953758,0.0158959537572254,FALSE
OSMR,1678,0.0018545953,4.713694744332364e-4,909,0.03251445,0.0296242774566473,FALSE
NGFR,2052,8.2369166e-4,4.6998662427493105e-4,910,0.00867052,0.0086705202312138,FALSE
PRMT8,1642,0.0020260545,4.693211752914479e-4,911,0.035404623,0.0267341040462427,FALSE
CLK2,1432,0.0034442004,4.683579076516102e-4,912,0.070809245,0.0635838150289017,FALSE
WNT9B,1877,0.001203057,4.6798672669820334e-4,913,0.01734104,0.0158959537572254,FALSE
GPC3,1694,0.0018067112,4.662808701706185e-4,914,0.03034682,0.0223988439306358,FALSE
CPED1,1490,0.0030093568,4.6502514741583484e-4,915,0.05563584,0.0296242774566473,FALSE
NAALADL2-AS2,1908,0.0011061011,4.626431491067418e-4,916,0.01517341,0.0137283236994219,FALSE
TAFA4,1718,0.0017153983,4.6203024038598227e-4,917,0.028901733,0.0238439306358381,FALSE
TEX15,1474,0.0031355282,4.618952275408976e-4,918,0.06069364,0.0426300578034682,FALSE
LINC00354,2001,9.078392e-4,4.6180165605952384e-4,919,0.01083815,0.0108381502890173,FALSE
COX7A1,1979,9.4472786e-4,4.612276417411426e-4,920,0.011560693,0.0108381502890173,FALSE
BMP5,1793,0.0014317825,4.6029010092693546e-4,921,0.0216763,0.0144508670520231,FALSE
CLEC2L,1930,0.0010593589,4.5996907235388814e-4,922,0.014450867,0.0144508670520231,FALSE
MYO18A,1498,0.0029742138,4.5966325136405264e-4,923,0.059248555,0.0520231213872832,FALSE
DLEC1,1762,0.0015105051,4.582961571369038e-4,924,0.024566473,0.0216763005780346,FALSE
DBX2,1928,0.0010603907,0.00045792393585572207,925,0.013728323,0.0101156069364161,FALSE
CHRD,1831,0.0013375074,4.5701709937337107e-4,926,0.020953758,0.0202312138728323,FALSE
IRAK2,1982,9.3969033e-4,4.561901117411427e-4,927,0.011560693,0.0108381502890173,FALSE
ADGRD1,2063,8.091146e-4,4.554095642749313e-4,928,0.00867052,0.0086705202312138,FALSE
RBP5,1869,0.0012199417,4.543868945415811e-4,929,0.018063584,0.0166184971098265,FALSE
ADAMTS16-DT,1760,0.0015155921,4.5319835496899173e-4,930,0.023843931,0.0166184971098265,FALSE
NPAS1,1767,0.0014983222,4.528520726728441e-4,931,0.024566473,0.0223988439306358,FALSE
SGCD,347,0.0333352,4.518377631760247e-4,932,0.98554915,0.3280346820809248,FALSE
PALMD,1383,0.003701636,4.517806598540577e-4,933,0.07586705,0.0606936416184971,FALSE
HTR7,1938,0.0010333132,4.5106288246353954e-4,934,0.013728323,0.0122832369942196,FALSE
WWC3-AS1,1619,0.002142715,4.5053714747982207e-4,935,0.039017342000000003,0.0317919075144508,FALSE
SAMD10,1823,0.0013540349,4.4993065628632495e-4,936,0.0216763,0.0216763005780346,FALSE
FBRS,1469,0.0031554159,4.498800670138082e-4,937,0.0650289,0.0621387283236994,FALSE
FREM2-AS1,1902,0.0011305696,4.498089008353536e-4,938,0.015895953,0.0137283236994219,FALSE
SNPH,1970,9.5720065e-4,4.4974208619071997e-4,939,0.012283237,0.0122832369942196,FALSE
PSG11-AS1,1669,0.0019096817,4.4934641058619904e-4,940,0.033236995,0.0252890173410404,FALSE
SLC36A1,1477,0.0030909402,4.4700870676857524e-4,941,0.06213873,0.0534682080924855,FALSE
HAPLN1,1291,0.004506303,4.460489639868025e-4,942,0.09248555,0.0599710982658959,FALSE
LMNB1-DT,1746,0.0015707605,4.446557777754357e-4,943,0.02601156,0.0216763005780346,FALSE
DLL3,1263,0.004787923,4.4347196302523147e-4,944,0.098988436,0.0628612716763005,FALSE
PNOC,1872,0.0012150184,4.427247790056414e-4,945,0.018063584,0.0158959537572254,FALSE
MFSD13A,1651,0.0019846861,4.424345665327002e-4,946,0.03684971,0.0361271676300578,FALSE
HAPLN4,1829,0.00134281,4.421032527655559e-4,947,0.020953758,0.0180635838150289,FALSE
DGAT1,1363,0.0038788328,4.41070702856285e-4,948,0.08236994,0.074421965317919,FALSE
ADCYAP1,1934,0.0010388065,4.3941667235388793e-4,949,0.014450867,0.0144508670520231,FALSE
RNF207,1955,9.972665e-4,4.389210916426299e-4,950,0.01300578,0.0108381502890173,FALSE
MFSD3,1719,0.001713951,4.3417000999407013e-4,951,0.03034682,0.0289017341040462,FALSE
NEUROG1,2028,8.61981e-4,4.332164715135492e-4,952,0.010115607,0.0086705202312138,FALSE
HSD17B7P2-1,1600,0.0022327404,4.312975139692661e-4,953,0.04118497,0.0317919075144508,FALSE
GLRA1,1923,0.0010744506,4.3099264910674096e-4,954,0.01517341,0.0137283236994219,FALSE
DGKK,1593,0.0022834602,4.308091108952988e-4,955,0.040462427,0.0223988439306358,FALSE
LINC01117,1566,0.0024669287,4.2997107974199927e-4,956,0.04479769,0.0260115606936416,FALSE
XACT,1943,0.001018348,4.2935886692760047e-4,957,0.013728323,0.0115606936416184,FALSE
NUSAP1,700,0.015709726,4.2893275033121473e-4,958,0.38078034,0.1734104046242774,FALSE
GDNF-1,688,0.016065126,4.266198901015766e-4,959,0.4132948,0.2658959537572254,FALSE
KCNAB1,2119,7.1849226e-4,4.2647667737809975e-4,960,0.0072254334,0.0072254335260115,FALSE
SH2D4A,1714,0.001730124,4.2647300377201636e-4,961,0.029624278,0.0223988439306358,FALSE
SYNGR2,1960,9.931158e-4,4.243431135354186e-4,962,0.013728323,0.0137283236994219,FALSE
ZNF385D-AS1,1927,0.001060835,4.2411586464268143e-4,963,0.01517341,0.0144508670520231,FALSE
LRRC43,1811,0.0013918118,4.236868397684226e-4,964,0.022398844,0.01878612716763,FALSE
MUC1,1899,0.0011397809,4.181882577700824e-4,965,0.01734104,0.0173410404624277,FALSE
LGALS3,1697,0.0017952003,4.180163177434922e-4,966,0.031069364,0.0223988439306358,FALSE
PAMR1,1590,0.0022867955,4.1796445860987636e-4,967,0.04118497,0.0245664739884393,FALSE
RERG,1213,0.0052795196,4.1774318642401147e-4,968,0.115606934,0.0917630057803468,FALSE
FZR1,1897,0.0011492555,4.1774084002123844e-4,969,0.016618498,0.0122832369942196,FALSE
SLC5A9,1789,0.0014394401,4.174792481846276e-4,970,0.023843931,0.0209537572254335,FALSE
ADAMTS19-AS1,2009,8.9383574e-4,4.170743372770813e-4,971,0.011560693,0.0115606936416184,FALSE
TOGARAM2,1505,0.002922353,4.1627494172605066e-4,972,0.056358382,0.0375722543352601,FALSE
TXK,1956,9.961608e-4,4.1391048246354077e-4,973,0.013728323,0.0122832369942196,FALSE
SEMA3F-AS1-1,2014,8.903213e-4,4.1355989727708e-4,974,0.011560693,0.0115606936416184,FALSE
GATA3,2259,5.495377e-4,4.122185950014165e-4,975,0.0036127167,0.0036127167630057,FALSE
PCYT1B-AS1,1868,0.0012213377,4.118471917034342e-4,976,0.018786127,0.0158959537572254,FALSE
ASCL2,1794,0.0014296259,4.109617921753613e-4,977,0.0216763,0.009393063583815,FALSE
PTCHD1-AS,1132,0.0062499708,4.101760520320801e-4,978,0.1300578,0.0592485549132947,FALSE
LINC00499,1506,0.00290273,4.1012957279792873e-4,979,0.056358382,0.0390173410404624,FALSE
PLXND1,1977,9.4744423e-4,4.093152682504464e-4,980,0.01300578,0.0130057803468208,FALSE
HPSE2,1873,0.0012104065,4.07654807239373e-4,981,0.018786127,0.0166184971098265,FALSE
TTR,2105,7.4083544e-4,4.044840133461614e-4,982,0.007947977,0.0065028901734104,FALSE
LINC02427,1976,9.4824634e-4,4.0337856271450664e-4,983,0.01300578,0.0122832369942196,FALSE
DRAM1,1800,0.0014071676,4.020034220787121e-4,984,0.023121387,0.01878612716763,FALSE
ZNF613,1909,0.0011060934,4.015340021649938e-4,985,0.016618498,0.0151734104046242,FALSE
TTC6,650,0.017515717,4.0101848869668257e-4,986,0.41112718,0.0989884393063583,FALSE
LINC00598,1693,0.0018139809,4.000690630219624e-4,987,0.031791907,0.0223988439306358,FALSE
MAFK,1892,0.0011587255,3.999095100775202e-4,988,0.018063584,0.0173410404624277,FALSE
VSTM2A-OT1,2214,5.980454e-4,3.9876645139840883e-4,989,0.0050578034,0.005057803468208,FALSE
HAUS3,1561,0.0024774065,3.9856047190044077e-4,990,0.049132947,0.0447976878612716,FALSE
MFSD5,1774,0.0014840752,3.9840337099107074e-4,991,0.02601156,0.0260115606936416,FALSE
ZNF629,1666,0.0019165077,3.9732701566747876e-4,992,0.03612717,0.0346820809248554,FALSE
ADAMTS9-AS2,704,0.015625153,3.9689404170178304e-4,993,0.38294798,0.1878612716763005,FALSE
PANK2-AS1,1716,0.0017192891,3.9601564203100355e-4,994,0.031069364,0.028179190751445,FALSE
MYRF,1958,9.950735e-4,3.956836723538873e-4,995,0.014450867,0.0144508670520231,FALSE
BEST4,2061,8.1092014e-4,3.9563324258542695e-4,996,0.010115607,0.0101156069364161,FALSE
NXT2,1598,0.0022447596,3.9492816070069647e-4,997,0.0433526,0.0382947976878612,FALSE
NHLH2,2000,9.0889004e-4,3.946926606547811e-4,998,0.012283237,0.0115606936416184,FALSE
CDC42-AS1,2039,8.382682e-4,3.9223065605952293e-4,999,0.01083815,0.0108381502890173,FALSE
ESRRB,1940,0.0010283899,3.916707646426811e-4,1000,0.01517341,0.0144508670520231,FALSE
MORN5,1242,0.0049739904,3.9008317302377147e-4,1001,0.102601156,0.055635838150289,FALSE
LINC02885,1818,0.0013782954,3.8995399316060525e-4,1002,0.022398844,0.0166184971098265,FALSE
PGM5-AS1,2085,7.798782e-4,3.8863001159665283e-4,1003,0.009393063,0.0086705202312138,FALSE
SP9,2042,8.334119e-4,3.8737435605952313e-4,1004,0.01083815,0.0108381502890173,FALSE
PLCE1-AS1,1844,0.0012972907,3.864476407503863e-4,1005,0.0216763,0.0209537572254335,FALSE
KCNMB2-AS1,997,0.008069776,3.863751160153465e-4,1006,0.17774567,0.0939306358381502,FALSE
BCL2,258,0.041330587,3.862505059309432e-4,1007,1.416185,0.5671965317919075,FALSE
MIR217HG,2038,8.386322e-4,3.8585584052358427e-4,1008,0.01083815,0.0101156069364161,FALSE
HOXA2,2190,6.2808127e-4,3.843854358059584e-4,1009,0.0057803467,0.0043352601156069,FALSE
LDB2,840,0.011235403,3.833483102142671e-4,1010,0.25289017,0.101878612716763,FALSE
ANO1,2166,6.5052573e-4,3.826565146816881e-4,1011,0.00650289,0.0057803468208092,FALSE
SELENBP1,1804,0.0014035165,3.815556481846263e-4,1012,0.023843931,0.0209537572254335,FALSE
DCDC1,582,0.020037072,3.8053482474078085e-4,1013,0.5231214,0.2557803468208092,FALSE
SLC25A19,1813,0.0013888624,3.803791792565053e-4,1014,0.023843931,0.0223988439306358,FALSE
C8orf34-AS1,1822,0.0013618249,3.8022230869654537e-4,1015,0.022398844,0.0173410404624277,FALSE
ENC1,559,0.021018088,3.795129005747089e-4,1016,0.57442194,0.3367052023121387,FALSE
SLC6A5-1,2262,5.476726e-4,3.7936000791779785e-4,1017,0.00433526,0.0043352601156069,FALSE
AGBL2,1890,0.0011647763,3.790050479337649e-4,1018,0.018063584,0.0144508670520231,FALSE
LINC01418,1445,0.0033506735,3.7862162512999e-4,1019,0.06647399,0.0411849710982658,FALSE
MYH11,1603,0.002211828,3.781008207176486e-4,1020,0.042630058,0.0361271676300578,FALSE
VSTM2A,1850,0.001272007,3.780390683014932e-4,1021,0.020953758,0.01878612716763,FALSE
MYH7B,1933,0.0010434474,3.761643319072323e-4,1022,0.015895953,0.0151734104046242,FALSE
CBX8,1637,0.0020586534,3.7447269929377603e-4,1023,0.040462427,0.0404624277456647,FALSE
IGSF1,1945,0.001016445,3.7298704910674176e-4,1024,0.01517341,0.0137283236994219,FALSE
CACNG2,1583,0.0023248217,3.7291748124630936e-4,1025,0.04552023,0.0390173410404624,FALSE
PAX8,2129,7.089811e-4,3.7262967334616146e-4,1026,0.007947977,0.0065028901734104,FALSE
