gene,bio_rank,ko_l2_mean,mean_expr,frac_expr
DLEU2,329,0.034958236,2.1864161,0.5274566473988439
CHST11,330,0.034659952,1.908237,0.5606936416184971
PCDHA4,331,0.034497883,0.3966763,0.2579479768786127
JPT1,332,0.03440675,1.2687861,0.5
CEP112,333,0.034238756,1.9862716,0.6430635838150289
TFPI,334,0.034179084,0.67413294,0.2723988439306358
PCDH7,335,0.03394527,1.4523121,0.5346820809248555
SORBS2,336,0.03390601,1.0599711,0.5021676300578035
UCHL1,337,0.033860486,0.88583815,0.5130057803468208
NCALD,338,0.03384232,1.2622832,0.5173410404624278
TFDP2,339,0.033762716,1.4458092,0.559971098265896
DOCK1,340,0.0337599,1.2998555,0.5325144508670521
GPC5,341,0.0337475,1.7507225,0.3388728323699422
C4orf48,342,0.033709098,1.1726879,0.509393063583815
NAP1L1,343,0.03365341,1.5180635,0.5888728323699421
ANK3,344,0.03348116,1.3157514,0.5036127167630058
SKP1,345,0.033451334,1.623555,0.4992774566473988
CACNB2,346,0.03342742,1.2449422,0.4602601156069364
SGCD,347,0.0333352,0.98554915,0.3280346820809248
IMMP2L,348,0.033196803,2.0794797,0.6235549132947977
DUT,349,0.03299926,0.6734104,0.3482658959537572
NR2F2-AS1,350,0.03296967,0.5787572,0.2355491329479768
SEMA5A,351,0.03295612,1.1936417,0.3258670520231214
FIGN,352,0.032883745,1.125,0.4703757225433526
SMYD3,353,0.032861248,2.4617052,0.7210982658959537
RALYL,354,0.0328547,1.0809249,0.4154624277456647
LINC01572,355,0.032756854,1.1893064,0.4378612716763005
DGKB,356,0.032684512,0.8150289,0.3497109826589595
HES6,357,0.032419242,0.8323699,0.2854046242774566
PPFIA2,358,0.0324091,1.9010116,0.5794797687861272
MID1,359,0.03239313,2.2210982,0.546242774566474
BCL11A,360,0.032360632,0.90245664,0.4176300578034682
DNER,361,0.032296244,1.2182081,0.5440751445086706
DNAJB6,362,0.032278903,1.1336706,0.4848265895953757
RBMX,363,0.032196227,1.4768786,0.5852601156069365
LRRC7,364,0.032096144,1.1488439,0.440028901734104
PAM,365,0.03204617,1.1098266,0.476878612716763
GREB1L,366,0.03198366,1.1546242,0.3713872832369942
NELL1,367,0.031970426,1.1098266,0.2875722543352601
GRIN2A,368,0.03193019,0.9306358,0.2817919075144509
ITPR2,369,0.031891882,0.6148844,0.2947976878612717
HES5,370,0.03178591,1.7290462,0.3908959537572254
ASTN2,371,0.031774886,1.0932081,0.4183526011560693
KIF5C,372,0.031664304,1.4696531,0.5744219653179191
GRIA2,373,0.031635962,0.8612717,0.4212427745664739
LHX2,374,0.031430207,0.9790462,0.3367052023121387
CRB2,375,0.03136864,0.4682081,0.3027456647398844
MDK,376,0.031335995,1.1473988,0.4320809248554913
DANT2,377,0.031329107,0.9010116,0.4118497109826589
LIPG,378,0.031283587,0.9306358,0.4039017341040462
GRIK1,379,0.031256564,0.92919075,0.3554913294797688
NCOA2-1,380,0.031186948,1.7825145,0.6445086705202312
NAALADL2,381,0.03111371,2.5722544,0.625
CPE,382,0.030946724,1.9898844,0.6069364161849711
HS6ST3,383,0.030945577,0.9515896,0.3699421965317919
EPHB1,384,0.030895911,1.1286128,0.5086705202312138
CRYAB,385,0.03080826,1.9226879,0.1365606936416185
MEF2C,386,0.030796941,0.66184974,0.3446531791907514
PBX3,387,0.030774318,0.98049134,0.3894508670520231
HMGN3,388,0.030739762,1.5368497,0.5534682080924855
MGST1,389,0.03060933,1.0086706,0.3215317919075144
APOE,390,0.030599222,1.267341,0.1589595375722543
PCSK1N,391,0.030533366,0.78106934,0.3829479768786127
UNC5D,392,0.030419901,1.2225434,0.3374277456647399
CDH8,393,0.03034985,0.64378613,0.3049132947976878
L3MBTL4,394,0.030237403,1.0368497,0.3605491329479768
ZNF608,395,0.030146554,1.324422,0.5635838150289018
LINC01515,396,0.030129606,1.0245665,0.3526011560693641
EPHA7,397,0.030043727,0.8526012,0.3959537572254335
PDE1C,398,0.030014716,0.6986994,0.3540462427745665
ELMO1,399,0.02999396,1.2160405,0.5180635838150289
ADAMTSL1,400,0.029973973,1.1112716,0.3309248554913295
COL4A6,401,0.029917458,0.84393066,0.324421965317919
PRDX1,402,0.02980966,1.299133,0.4320809248554913
RFC3,403,0.029705657,1.0072254,0.3352601156069364
CENPP,404,0.02956064,1.0130057,0.3432080924855491
GSTP1,405,0.029542709,1.3699422,0.3959537572254335
FMN2,406,0.029485598,1.2709538,0.5296242774566474
SPARCL1,407,0.029477626,2.401734,0.2261560693641618
FBN2,408,0.029446894,1.4140173,0.3171965317919075
ALCAM,409,0.029277768,0.6452312,0.3157514450867052
