gene,ko_l2_mean_70d,ko_l2_mean_115d
ZFHX3,0.026398646,0.025020726
PHACTR1,0.026339903,0.054999974
IGFBP2,0.026295058,0.04995776
EPHA7,0.026278466,0.030043727
KCNH7,0.02624685,0.05555285
ZFPM2,0.02618498,0.049057595
SLC6A1-AS1,0.026171176,0.005672969
RND3,0.026097782,0.009438801
CDH8,0.026048848,0.03034985
MECOM,0.025853362,0.006617601
EPHA4,0.025779791,0.012476062
CST3,0.025679212,0.04842178
TMEM163,0.025593596,0.05828455
BASP1-AS1,0.025575228,0.037687764
MLLT3,0.025552945,0.05418421
RGS7,0.025544304,0.03810078
POU6F2,0.025407154,0.022443695
PCSK1N,0.02535279,0.030533366
RBFOX1,0.02496378,0.085142456
NAALADL2,0.024852183,0.03111371
THSD7A,0.024839817,0.037551112
ZFPM2-AS1,0.02481551,0.02801679
ZFP36L2,0.024741264,0.009164048
FBXO32,0.024691124,0.018575225
TAFA1,0.0245865,0.07366993
ASPM,0.0245806,0.018666284
ATAD2,0.024548387,0.02231493
IMMP2L,0.024538377,0.033196803
ZNF804A,0.024531066,0.037042104
ZEB2,0.024450986,0.038746998
CSMD2,0.024406182,0.06943918
NUDT1,0.024331536,0.008688881
SPATA13,0.024110185,0.036004677
HOPX,0.024090527,0.017649615
TPX2,0.024086291,0.013754285
CRMP1,0.024016343,0.019627351
PRKG1,0.023951504,0.08043186
NCAM2,0.023914197,0.09259739
ARX,0.023862531,0.013711177
NKAIN2,0.023838392,0.07352633
NDN,0.02379775,0.01172816
TIMP3,0.023769267,0.023530949
COL4A6,0.023750426,0.029917458
LINC00511,0.023731286,0.025517458
RANBP17,0.023729319,0.027110733
BCAN,0.023701558,0.056772333
DNER,0.023605993,0.032296244
DOK6,0.023570806,0.01857021
SMYD3,0.023563843,0.032861248
NUSAP1,0.0234764,0.015709726
PCDH11X,0.023416882,0.0370307
NTRK2,0.023371853,0.06935628
KALRN,0.023366913,0.045797758
TOX,0.023294125,0.059935488
DLL1,0.023278462,0.009678764
CACNA2D1,0.023277111,0.05133353
CDC20,0.023242494,0.0049537066
TUBA1C,0.023228137,0.006804602
NUF2,0.023206426,0.011473184
HSD17B12,0.023074659,0.011914573
MIS18BP1,0.02304209,0.0154779265
PDXDC1,0.022938464,0.018517477
LINC01515,0.02290439,0.030129606
SDC2,0.022892853,0.015617963
BCL2,0.022839965,0.041330587
CCNA2-1,0.022731412,0.0033846612
BOC,0.022722626,0.043121614
MOB3B,0.022654774,0.03810704
SEMA3A,0.02265005,0.02036098
PPP2R2B,0.022556165,0.05199577
NPY,0.022423925,0.015844105
GLI2,0.022356562,0.035511468
CPE,0.022332441,0.030946724
PRKCA,0.0223136,0.042068932
PDGFD,0.022169756,0.04422835
NCOA2-1,0.022164686,0.031186948
TRAPPC5,0.022151846,0.011156314
CKAP2,0.022044921,0.009666453
