gene,pearson_r,pval,padj,abs_r
B3GALT5,-0.01637885719537735,0.3379304475623173,0.7004751471024885,0.01637885719537735
FAM25EP,-0.01637629047036171,0.3380061675701092,0.7004751471024885,0.01637629047036171
NPS,-0.01637629047036171,0.3380061675701092,0.7004751471024885,0.01637629047036171
SOD3,-0.01637629047036171,0.3380061675701092,0.7004751471024885,0.01637629047036171
F10-AS1,-0.01634223945438862,0.33901172469172025,0.7022686037330343,0.01634223945438862
PDZD2,-0.016329750418663025,0.3393810175584961,0.7027430904899272,0.016329750418663025
LINC00395,0.016314614564180374,0.3398289207326901,0.7033798933463487,0.016314614564180374
FHIP1A,-0.016298674046993256,0.3403010450061188,0.7038376394788153,0.016298674046993256
PDILT,0.01629398763179779,0.34043992655088723,0.7038376394788153,0.01629398763179779
OAS1,0.01629292406141758,0.34047145042838717,0.7038376394788153,0.01629292406141758
IGFBP1,-0.016284286975860596,0.3407275200422575,0.7038489972811404,0.016284286975860596
CSF3R,0.016277598217129707,0.34092591096930097,0.7038489972811404,0.016277598217129707
LINC02462,0.016276372596621513,0.3409622713171653,0.7038489972811404,0.016276372596621513
LINC00276,-0.01627098210155964,0.3411222200024023,0.7038489972811404,0.01627098210155964
CALML3-AS1,-0.016264203935861588,0.34132341228717605,0.7038489972811404,0.016264203935861588
MR1,0.016261518001556396,0.34140315828759693,0.7038489972811404,0.016261518001556396
CADPS2,-0.01625009812414646,0.3417423501204608,0.7038489972811404,0.01625009812414646
LINC02751,0.016247117891907692,0.34183090407378314,0.7038489972811404,0.016247117891907692
LINC01117,-0.016245651990175247,0.3418744669334689,0.7038489972811404,0.016245651990175247
TST,-0.016245413571596146,0.34188155246104485,0.7038489972811404,0.016245413571596146
DNER,0.016222529113292694,0.34256208948223027,0.7049604231603516,0.016222529113292694
ESRP1,0.016217071563005447,0.3427245136318529,0.7050051468839141,0.016217071563005447
PECAM1,-0.016197845339775085,0.34329710423306814,0.7058932249946264,0.016197845339775085
MEIOSIN,0.016185887157917023,0.3436535477862881,0.7063363117133263,0.016185887157917023
OTP,-0.016174735501408577,0.3439861636359756,0.7064095493055004,0.016174735501408577
ALX4,-0.016167741268873215,0.3441948825124345,0.7064095493055004,0.016167741268873215
TMEM92,0.016166159883141518,0.34424208474164647,0.7064095493055004,0.016166159883141518
LINC00518,0.016156619414687157,0.3445269424498344,0.7064095493055004,0.016156619414687157
NOTCH2NLR,-0.016152262687683105,0.3446570748610077,0.7064095493055004,0.016152262687683105
DCLRE1CP1,-0.016148649156093597,0.344765032317807,0.7064095493055004,0.016148649156093597
HPAT5,0.01614735648036003,0.34480365738598706,0.7064095493055004,0.01614735648036003
SLC45A4,-0.016141468659043312,0.3449796200110532,0.7064095493055004,0.016141468659043312
KRT127P,-0.016140708699822426,0.3450023362192039,0.7064095493055004,0.016140708699822426
IL13RA2,-0.016136443242430687,0.3451298542000331,0.7064095493055004,0.016136443242430687
