gene,pearson_r_70d,pearson_r_115d
NFIA-AS2,-0.10033676028251648,-0.14945848286151886
PRTG,-0.0998239517211914,0.0756450891494751
CENPP,0.0996779128909111,0.10888150334358215
ZIC2,-0.09958086162805557,-0.02973366715013981
GULP1,-0.09947559237480164,-0.12147416174411774
BCAS3,-0.0994265004992485,-0.10610245913267136
CD9,-0.09916059672832489,0.1662295013666153
LINC01515,-0.09895993024110794,-0.036938078701496124
MTUS2,0.09843331575393677,-0.24872669577598572
ZNF608,-0.09812051057815552,-0.08667868375778198
TRIOBP,-0.09811466932296753,-0.1297333538532257
SEMA3A,-0.09807080030441284,-0.12061614543199539
EYA4,-0.09794428199529648,-0.015210220590233803
VIT,0.09722717106342316,-0.01420128345489502
WWOX,0.09692049026489258,0.05570196360349655
